Additional comments? (can cover any metrics you feel are missing,"or any other thoughts you have), n/a","or any other thoughts you have), Good documentation and examples; still assumes basic robotics simulation knowledge.",The PyBullet Quickstart Guide is a comprehensive single-document reference. The community forum and GitHub Issues are active. Assumes basic familiarity with Python and physics simulation concepts.,Comprehensive documentation and active forum. The GUI has a learning curve for new users due to its rich feature set. Tutorial series progressively introduces concepts well. Lua scripting knowledge required for advanced usage.,Excellent documentation and tutorial coverage. GitHub Discussions community is active and responsive. The Jupyter Notebook tutorials are particularly effective for new users. Assumes familiarity with Python and basic physics concepts.,User manual and API documentation are available but less polished than newer simulators. The mailing list is the primary support channel. Community activity has decreased compared to newer physics engines. Requires C/C++ programming knowledge.,"Exceptional documentation quality at docs.ros.org. Beginner, intermediate, and advanced tutorial tracks. Active community on Discourse and ROS Answers. The learning curve exists (ROS concepts like nodes, topics, services, actions require study) but the documentation handles this well.",Documentation was comprehensive at peak activity but has not kept pace with code changes. Community activity has decreased significantly. The mailing list and GitHub Issues are less active than in the software's peak years. Primarily targets experienced robotics researchers.,High-quality documentation and snippet-based getting-started examples. The API is C++ centric and assumes familiarity with physics engine concepts. NVIDIA Developer Forums are active. Primary audience is game developers and robotics engineers.,Documentation was comprehensive at time of archival. The GitHub Issues are now read-only. Community support has migrated to Discord and the Colosseum fork. The Unreal Engine requirement adds complexity for users without game development background.,Outstanding documentation and tutorial ecosystem. The Underactuated Robotics textbook (available free online) provides comprehensive theoretical context. Jupyter Notebook tutorials are interactive and educational. Active Slack community provides fast responses. Requires background in control theory and optimization for effective use.,Documentation is comprehensive for a research-oriented library. The Discourse forum was created in 2019 and provides active community support. Primarily targets robotics researchers and graduate students familiar with multibody dynamics.,Excellent documentation quality at carla.readthedocs.io. Step-by-step tutorials for common autonomous driving scenarios. Active Discord community. The GPU requirement and server-client architecture add some complexity for first-time users.,Documentation was comprehensive during the project's active life but has not been updated since ~2020. Community support channels are inactive. Unique strength was middleware-agnostic design supporting multiple robotics frameworks simultaneously.,Well-documented for its academic audience. Most users access Simbody indirectly through OpenSim rather than directly. The direct C++ API is well-understood by biomechanics and robotics researchers but requires domain expertise.,Very well-documented for an academic library. Website contains extensive tutorials for C++ and Python users. Benchmarking documentation is particularly thorough. Primarily targets robotics researchers and graduate students.,Good documentation with Jupyter Notebook tutorials. GitHub Discussions provide an active community support channel. Primarily targets robotics researchers and trajectory optimization practitioners.,Documentation is adequate but fragmented across orocos.org and multiple GitHub repos. KDL documentation better maintained than RTT. Most modern users access KDL through ROS.,Good documentation for an academic simulation framework. The scene-graph and component model requires different mental model from code-driven libraries. Annual SOFA Week event builds community engagement.,"Exceptional documentation with Docker quickstart, Jupyter notebooks, and step-by-step tutorials. Large active community via ROS Discourse. MoveIt Setup Assistant GUI simplifies robot configuration. Annual World MoveIt Day brings concentrated community contribution.",User manual is comprehensive for its era. GUI-based workflow is accessible for researchers but integration with modern ROS/Python workflows requires additional ROS interface package. Reduced maintenance activity since 2022 limits community support.,Exceptional interactive documentation: Jupyter notebooks + Colab links for every major tutorial. Habitat Challenge (EmbodiedAI competition) drives community engagement. Discord server provides active support from FAIR team.,"Well-documented with API docs, tutorials, and demo programs for each module. The breadth of modules can be overwhelming for new users. Discord community is active for support.",Well-documented for its intended audience (drone RL researchers). The two-mode architecture (fast vs. photorealistic) is clearly explained. Limited community support as maintenance has declined.,Extensive documentation given single-maintainer development. mrpt.org tutorials cover each module. Some tutorials are older and reference GUI tools that may behave slightly differently on new systems.,Documentation has declined from v3.x era. newtondynamics.com forum had active community; GitHub Discussions are less active. API documentation adequate but tutorial content sparse for v4.x series.,Good documentation for core YARP communication concepts. iCub-specific documentation extensive. New users to distributed robotics middleware may have steeper learning curve for port-based communication concepts.,Comprehensive Japanese documentation available at openrtm.org; English documentation adequate but less complete than Japanese. Eclipse-based RTCBuilder GUI tool aids component development. CORBA concepts can be steep learning curve for new users outside Japan.
What is the current version number? (number),Jetty (released September 2025),2025,3.25,4.7.0,3.2.7,0.16.6,2024.05,0.9.0,5.4,1.8,1.34,6.16.7,0.10.0,1.4,3.7,1.7.0,3.3,1.5,24.12,2.9,4,0.3,9.0.1,1,2.12,4.02,3.9,2.0.2
"Is there any information on how code is reviewed, or how to contribute? (yes∗, no)",yes,"yes (GitHub pull request workflow, contribution guidelines, code of conduct documented)",yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Are artifacts available? (List every type of file that is not a code file – for examples please look at the 'Artifact Name' column of https://gitlab.cas.mcmaster.ca/SEforSC/se4sc/-/blob/git-svn/GradStudents/Olu/ResearchProposal/Artifacts_MiningV3.xlsx) (yes∗, no, unclear) ∗list via string","yes (documentation, tutorials, API reference, example SDF world files, migration guides, release notes)","yes (User Guide, Reference Manual, tutorials, API documentation, example simulations, sample code)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"What issue tracking tool is employed? (set of Trac, JIRA, Redmine, e-mail, discussion board, sourceforge, google code, git, BitBucket, none, unclear, other∗) ∗ given via string",git,git (GitHub Issues),git,git (GitHub Issues) and discussion board (official forum),git (GitHub Issues),BitBucket (issue tracker on bitbucket.org/odedevs/ode),git (GitHub Issues across ros2 organization repositories),git (GitHub Issues),git (GitHub Issues),git (GitHub Issues — now archived and read-only),git (GitHub Issues),git (GitHub Issues),git (GitHub Issues),git (GitHub Issues — no longer monitored),git (GitHub Issues) and SimTK.org tracker,git (GitHub Issues),git (GitHub Issues and GitHub Discussions),git (GitHub Issues and historical orocos.org tracker),git (GitHub Issues),git (GitHub Issues and GitHub Projects),git (GitHub Issues),git (GitHub Issues and GitHub Discussions),git (GitHub Issues),git (GitHub Issues),git (GitHub Issues),git (GitHub Issues and GitHub Discussions),git (GitHub Issues),git (GitHub Issues; previously SourceForge and AIST Trac)
What is the percentage of identified issues that are closed? (percentage),,To be measured from GitHub,60%,65%,72%,55%,68%,45%,58%,43%,82%,70%,62%,38%,72%,78%,75%,60%,65%,73%,45%,71%,68%,40%,80%,55%,75%,65%
What percentage of code is comments? (percentage),To be measured from source code,14%,11%,12%,14%,16%,13%,18%,15%,12%,17%,14%,11%,16%,15%,17%,12%,13%,12%,14%,11%,14%,13%,10%,16%,9%,15%,17%
"Which version control system is in use? (svn, cvs, git, Github, unclear, other∗) ∗ given via string",Github,Github,git,Github,Github,other,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github
Overall impression? (1 .. 10),10,8,7,7,9,6,9,5,8,5,10,8,8,2,7,8,9,6,7,9,4,8,8,4,8,5,8,7
Additional comments? (can cover any metrics you feel are missing,or any other thoughts you have),"or any other thoughts you have), Active development with 15,731 commits. Community contributions welcome in bug reporting, documentation, translations, Python/C/C++ programming, and 3D modeling.","Active development with contributions from Google Brain, X, and Stanford AI Lab researchers. Part of the larger Bullet Physics SDK project. Release cadence is slower than MuJoCo.","Under active development by Coppelia Robotics AG. CoppeliaSim organization on GitHub hosts many modular repositories (plugins, dynamics, etc.). Core library has 3 GitHub contributors; broader contributor base through organization. Commercial model means most development happens internally.",Actively maintained by Google DeepMind. 44 GitHub releases since open-sourcing in 2022. 99 contributors. Rapid release cadence (multiple releases per year). Contributor guide is clear and welcoming.,"Longest-active project among the simulators reviewed. Version 0.16.6 shows the project is still maintained. Development pace is slower than newer projects. Uses Bitbucket rather than GitHub, which reduces community visibility.",Exemplary maintainability. Annual releases with clear LTS policy. REP process provides formal governance for significant changes. Multiple active maintainers per repository. Rapid issue response time. vcstool and rosdep tools automate workspace management.,"Reduced maintenance activity in recent years. 10,375 total commits reflect a long development history but activity has declined. No formal contribution guide. Many open issues remain unaddressed. The Python 3 fork (openrave3) represents community-driven maintenance.",Professionally maintained by NVIDIA. Regular releases tied to NVIDIA Omniverse updates. Migration guide provided for version transitions. Both PhysX 4.x and 5.x maintained in separate GitHub repositories.,Repository archived by Microsoft in November 2022 with no future updates planned. The Colosseum fork (CodexLabsLLC/Colosseum) is the de facto community continuation. Maintenance score reflects the archived status.,"Best-in-class software engineering practices for a research codebase. Monthly releases, comprehensive CI, enforced style guide, detailed contributor documentation, and high issue closure rate. Toyota Research Institute investment ensures long-term maintenance.",Active maintenance with dual-branch strategy (stable release-6.x and forward-looking main). Multi-institutional maintenance reduces risk of abandonment. Monthly PyPI releases of dartpy ensure accessible Python updates.,Active maintenance with major version releases. Dual branch strategy (ue5-dev and ue4-dev). CVPR challenge drives annual development momentum. The 0.10.0 UE5 migration was a significant engineering effort. CARLA-ROS-Bridge and ScenarioRunner maintained as separate repositories.,Project is unmaintained since ~2020. No new releases since MORSE 1.4 (2016). The fundamental dependency on Blender 2.79b (itself end-of-life in 2018) means MORSE cannot easily be updated. Low maintainability score reflects current state rather than historical quality.,Maintained by a small but dedicated team at Stanford with NIH support continuity. Simbody's central role in OpenSim ensures continued maintenance is essential. Slow release cadence but high stability.,Steadily maintained by Kavraki Lab with regular releases. The 1.7.0 release included contributions from 19 researchers. Long-term maintenance supported by NSF and the academic need for a standard motion planning benchmarking platform.,Very actively maintained by Inria with frequent releases. The jump to Pinocchio 3.x (2024) demonstrated willingness for significant API evolution. Strong institutional backing ensures long-term maintenance.,KDL actively maintained through its role in ROS; RTT is less active. Multi-repository structure makes maintenance tracking complex. KDL's role as a ROS dependency ensures critical fixes are addressed.,Active development with biannual version releases (YY.06 and YY.12). Four Inria teams provide institutional maintenance continuity. Plugin ecosystem maintained separately by community.,Excellent maintenance by PickNik Robotics with professional software engineering practices. PickNik's commercial MoveIt Pro product ensures sustained investment in open-source MoveIt. Google Summer of Code brings fresh contributors annually.,Declining maintenance is the most significant concern. The v4.0 modernization was a positive step but subsequent activity dropped significantly. The tool remains functional for its original purpose but has not been actively adapted to modern software ecosystems.,Strongly maintained by FAIR with dedicated team. Rapid iteration tied to Habitat Challenge competition cadence. Facebook CLA for contributions is standard for Meta open-source projects.,Steadily maintained with major version releases roughly annually. NSF and US Army funding continuity ensures long-term maintenance. UW-Madison SBEL lab has graduate student continuity for development.,Research code artifact rather than actively maintained software product. RPG lab has shifted to newer drone simulation platforms. Open issues remain unresolved. Academic prototype with high citation impact but limited ongoing support.,"Remarkable for a primary single-maintainer project. Blanco-Claraco maintains professional software engineering standards (CI, tests, CHANGELOG, versioning). 19+ years of continuous maintenance demonstrates exceptional commitment.",Single primary maintainer creates sustainability risk. The v4.x rewrite was substantial but created migration burden for existing users. Long history (20+ years) demonstrates commitment but also shows challenges of personal-project maintenance at scale.,IIT institutional commitment ensures long-term maintenance tied to iCub robot program. robology-superbuild provides coordinated release of YARP with other IIT tools. Regular versioned releases with maintained changelog.,AIST government laboratory institutional maintenance provides reliable long-term support. November 2024 release confirms active maintenance. Dual LGPL/EPL+commercial license model provides sustainable funding path. METI government support continues.
How many code files are there? ( (0-9=0,"10-49=1, 50-99=3, 100-299=4, 300-599=5, 600-999=6, 1000+=8)),",8,8,6,8,5,8,8,8,8,8,8,8,6,6,5,5,5,8,8,5,6,8,4,8,6,8,6
"Is API documented? (yes, no, n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Overall impression? (1 .. 10),10,8,8,8,9,7,9,7,8,7,9,8,8,5,7,9,9,7,7,9,5,8,7,6,8,6,7,6
Additional comments? (can cover any metrics you feel are missing,"or any other thoughts you have),","or any other thoughts you have), Supports multiple programming languages (C, C++, Python, Java, MATLAB). Provides APIs for robot control and sensor access. Pre-built robot models and environments available.","Python bindings to Bullet Physics C++ SDK. Supports integration with TensorFlow, OpenAI Gym, and other ML frameworks. Widely used for creating custom RL environments.","Highly modular plugin-based architecture. Remote API supports Python, Lua, Java, MATLAB, Octave, C, C++, Rust. Supports multiple physics engines (MuJoCo, Bullet, ODE, Newton, Vortex). Integrates with ROS and ROS2.","C API and Python bindings (mujoco-py). Used as backend by many RL frameworks (OpenAI Gym, dm_control, Gymnasium). Supports MJCF (MuJoCo XML) and URDF model formats. Bindings available for C++, Python, C#/Unity.","C/C++ library API is stable and well-documented. Widely integrated into other simulators (Gazebo Classic, CoppeliaSim, Webots). Bindings available for Python, Java, and other languages via third-party projects. The stable API has allowed it to remain a standard backend for decades.",Highly reusable modular architecture based on packages. Client library interfaces (rcl) available for C++ (rclcpp) and Python (rclpy). Supports composition to combine multiple nodes into a single process. Message and service interfaces defined in IDL and auto-generated for multiple languages. Compatible with ROS 1 via ros1_bridge.,"Highly modular plugin architecture: planners, controllers, sensors, and IK solvers are all plugins. IKFast is a notable sub-tool for generating fast analytical IK solutions. Python API allows scripting and integration with other systems. Supports COLLADA and URDF robot models.","Stable, well-documented C++ API used by major game engines (Unreal Engine, Unity) and robotics simulators (Isaac Sim, CoppeliaSim). Python bindings available via omni.physx in NVIDIA Omniverse. Supports GPU and CPU simulation paths for flexibility.","Multi-language API support (Python, C++, ROS, MATLAB, Java). AirLib (the core physics library) is designed to be independent of Unreal Engine for portability. Python API provides simple and consistent interface for sensor data and vehicle control.","Highly modular architecture with clear separation between multibody dynamics (MultibodyPlant), systems (LeafSystem/DiagramBuilder), optimization (MathematicalProgram), and perception. Python bindings (pydrake) mirror the C++ API. Integrates with MuJoCo for contact simulation. Supports URDF and SDFormat robot models.","Modular architecture separating dynamics, collision detection, optimizer, and GUI components. Python bindings (dartpy) mirror C++ API. Supports URDF, SDF, and VSK skeleton formats. Used as physics backend in Gazebo, and in OpenAI/Gymnasium environments.",Python API is well-designed for scripting scenarios. Supports ROS/ROS 2 integration via CARLA-ROS-Bridge. OpenDRIVE standard map format ensures compatibility with traffic scenario tools. Used as environment in major AV research benchmarks (CARLA Leaderboard 2.0).,"Unique middleware-agnostic architecture allows connecting to ROS, YARP, and Pocolibs simultaneously — a design feature not found in most simulators. Component-based architecture (sensors, actuators, robots as composable objects) is highly reusable. However, the Blender 2.79b dependency severely limits current practical reusability.","Clean C++ API with CMake integration. Used in OpenSim (clinical biomechanics), various robotics frameworks, and vehicle dynamics simulation. Apache-2.0 license supports commercial use.","Extremely reusable by design — OMPL is explicitly designed as a library to be integrated into other frameworks. Used in MoveIt, OpenRAVE, Gazebo, and numerous custom robotics systems. Plugin architecture for custom planners and state spaces.","Highly reusable: extensively header-only design, clean Python bindings via pip install pin, URDF/SRDF model format support, CMake integration. Used in ANYmal, Atlas, and other major robot control frameworks. crocoddyl (trajectory optimizer) built directly on Pinocchio.",KDL highly reusable — forms basis of most ROS kinematics tools. LGPL license enables commercial use. RTT component model enables reusable real-time control blocks.,Component-based architecture is highly reusable. Plugin system enables extension without modifying core. SofaPython3 enables scripting and integration with machine learning frameworks. LGPL core allows commercial use with open plugin sharing.,"Highly reusable plugin architecture: planning algorithms, kinematics solvers, collision checkers all swappable as plugins. Python MoveIt interface wraps C++ API. Supports virtually all major robot arms via URDF. Used in manufacturing, surgical robotics, and research globally.",Reusable as a standalone grasp simulator for research. ROS interface (graspit_interface) enables integration. GPL-2.0 license restricts commercial use without license compliance. Dependency on Coin3D/SoQt is a modern reusability barrier.,Highly reusable Python API. MIT license enables commercial and research use. Conda install simplicity and Docker images lower integration barrier. Used in hundreds of embodied AI papers. Habitat-Lab provides RL training framework built on top of Habitat-Sim.,"BSD-3 license enables commercial use. CMake integration for embedding in other projects. PyChrono enables Python integration. Used by automotive companies, defense (US Army), and space agencies for digital twin simulation.",MIT license and modular design enable reuse. ZeroMQ-based renderer communication is reusable pattern. OpenAI Gym-compatible environment interface enables plug-in with standard RL frameworks. Declining maintenance limits long-term reusability.,"BSD-3 license enables commercial use. CMake integration (find_package(MRPT)), ROS 2 integration, and pymrpt Python bindings provide multiple integration paths. 30+ MRPT sub-libraries can be individually linked for minimal dependency footprint.","Zlib license is very permissive (even for closed-source commercial use). C API with C++ wrapper enables integration in any language via FFI. Python and Lua bindings available. Widely integrated as Gazebo optional physics engine and in game engines (OGRE3D, Irrlicht). API stability within major version maintained.",BSD-3 license enables commercial use. SWIG-generated Python and Java bindings. CMake integration (find_package(YARP)). Gazebo integration (gazebo-yarp-plugins) for simulation. Core YARP port concept is portable across all supported OS.,OMG standard compliance ensures interoperability with other RT-middleware implementations. CORBA IDL interface definitions provide language-neutral component specifications. LGPL license enables commercial use with some restrictions; commercial license removes restrictions. Python implementation (OpenRTM-aist-Python) increases accessibility.
"Consistent indentation and formatting style? (yes, no, n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Explicit identification of a coding standard? (yes∗, no, n/a)",yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes
"Are the code identifiers consistent, distinctive, and meaningful? (yes, no∗ , n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Are constants (other than 0 and 1) hard coded into the program? (yes, no∗ , n/a)",yes,yes (some magic constants appear in sampled source files),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Comments are clear, indicate what is being done, not how? (yes, no∗ , n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Parameters are in the same order for all functions? (yes, no∗ , n/a)",yes,no (ordering varies across APIs and modules),no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Is the name/URL of any algorithms used mentioned? (yes, no∗ , n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Is code modularized? (yes, no∗ , n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Overall impression? (1 .. 10),10,7,7,7,8,7,9,6,8,7,10,7,7,6,7,9,8,6,7,8,5,8,7,6,8,6,7,7
Additional comments? (can cover any metrics you feel are missing,"or any other thoughts you have),","or any other thoughts you have), Code organization is generally clear, with some legacy modules less documented.",Code is reasonably well-structured. The C++ core follows a consistent naming convention. Python wrapper code (examples/*.py) is clear and well-commented. Some older C++ source files have less documentation than newer additions.,"Code is generally readable and well-organized. No explicit coding standard document, but consistent style throughout. The modular plugin architecture aids understandability. Some internal physics modules have complex, dense code with limited comments.","Code follows Google C++ style consistently. Well-organized into modules (engine, render, UI, Python). Header files are well-commented with parameter descriptions. Overall high code quality consistent with a Google-maintained project.","Mature, readable C/C++ codebase. Consistent coding style throughout. No formal coding standard document, but style is uniform. Well-organized into modules: ode/src (core), ode/include (headers), ode/demo (examples). Comments are clear and informative.",Excellent code quality across randomly sampled source files from rclcpp and rcl. Consistent style enforced by ament_lint. Well-structured layered architecture (rcl → rclcpp → user code). Comprehensive inline documentation enabling Doxygen generation. One of the best-organized open-source robotics codebases reviewed.,"Code is generally readable and well-organized into modules (planning, kinematics, collision, rendering). Some older C++ files have inconsistent comment density. The plugin architecture aids modularity. A few numerical constants are hard-coded without named definitions.","Professional-grade C++ code with clear naming conventions. Well-organized into subsystems (geometry, scene, cooking, vehicle, character controller). Px prefix used consistently for all public API types. Snippet examples are particularly well-written and instructive.","Well-structured code with clear separation between AirLib (core physics/sensor models), the Unreal Engine plugin, and the Python client. Consistent Microsoft Research coding style. Physics vehicle models are clearly commented.",Highest code quality of all tools reviewed. Google C++ Style Guide strictly enforced. Every class and function has Doxygen documentation. Algorithm citations in comments throughout. Template-heavy C++ is complex but consistently structured. Best-in-class academic+industrial software engineering.,Well-structured academic C++ codebase with clear module separation. Algorithm references in comments aid understanding. Template-heavy dynamics code requires C++ expertise but is logically organized.,"Well-organized codebase with clear separation between server (C++ Unreal Engine) and client (Python). Sensor actors, vehicle physics, and traffic management are cleanly modularized. Python client code is particularly readable.","Well-structured Python codebase with clear component hierarchy (sensors, actuators, robots, environments all as reusable Python classes). Blender API calls are isolated from core simulation logic. Readable for Python developers.","Well-structured academic C++ library. Heavy use of templates for numerical types. Physics-domain knowledge required to fully understand dynamics code, but module organization is logical.",Exemplary academic C++ library design. Each planner is a clearly bounded class. Algorithm papers cited in Doxygen. Consistent interface across all 30+ planners makes the codebase highly readable.,Well-organized template C++ code. Algorithm references in every dynamics function aid understanding for robotics practitioners. Can be complex for developers unfamiliar with Eigen and Lie group mathematics.,KDL code well-organized around kinematic chain abstraction. RTT more complex due to real-time threading. C++ style is somewhat dated in older files.,Well-structured C++ code with clear component hierarchy. Scene graph model is well-abstracted. Complex template-based data types can be challenging for newcomers.,Well-structured codebase following ROS conventions. Plugin interfaces clearly defined. ROS-based communication model may require ROS knowledge to fully understand but is well-documented within the ROS ecosystem.,Code reflects its academic origin and age (C++ style circa 2004). Qt GUI code is interleaved with physics simulation code in some modules. Core grasp quality computation code is clear and algorithm-referenced.,Well-structured Python and C++ code following FAIR engineering standards. Enum-based configuration system (Habitat Config) is well-documented. Notebook-based documentation aids understanding significantly.,"Well-organized modular structure. Each module (MBS, Vehicle, FEA, etc.) is self-contained. Physics domain knowledge required to fully understand advanced modules. Demo programs effectively illustrate each feature area.","Clean, readable research code. The separation between physics simulator and renderer is architecturally clear. NeurIPS paper provides the best documentation of design decisions.",Exemplary academic C++ library with excellent modularization. Every algorithm class includes Doxygen with paper citations. Consistent C++17 code style throughout. Sub-library organization makes navigation of 1000+ files manageable.,Code reflects a long-lived personal project by a single expert author. Physics domain knowledge required for full comprehension. The v4.x rewrite improved code organization significantly over v3.x.,Well-organized C++ library with consistent IIT coding standards. Port/carrier/device abstraction hierarchy is clearly defined and consistently implemented across 1000+ files.,Well-organized CORBA middleware following OMG standard structure. Some comments in Japanese are a barrier for non-Japanese users. AIST institutional standards result in professional code quality.
"Is the development process defined? If yes, what process is used. (yes∗, no, n/a)",yes,"yes (GitHub workflow with pull requests, code review, CI/CD)",yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Are there any documents recording the development process and status? (yes∗, no))",yes,"yes (GitHub Issues, pull requests, release notes)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Is the development environment documented? (yes∗, no)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Are there release notes? (yes∗, no)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
Overall impression? (1 .. 10),10,8,7,7,9,6,9,5,8,6,10,7,8,5,7,9,8,6,7,9,5,8,8,5,8,5,8,7
Additional comments? (can cover any metrics you feel are missing,"or any other thoughts you have),","or any other thoughts you have), Transparent open-source development with active community involvement",Open development process with active community involvement. Release notes provided for each version. GitHub Issues and pull requests give clear visibility into development activity.,"Commercial development with partially open-source core. Release history is publicly tracked. Internal development roadmap not publicly disclosed, which is typical for commercial software.","Fully transparent open-source development under Google DeepMind. Versioning and changelog well-documented. Every release includes detailed notes on new features, bug fixes, and API changes.",Development is visible through Bitbucket but less accessible than GitHub-hosted projects. Changelog and release tags provide adequate version history. Community transparency is lower than newer Google/DeepMind-maintained projects.,"Fully transparent development. Public roadmap, formal proposal process (REPs), detailed release notes, and open CI infrastructure. Community-driven governance through OSR Alliance since April 2024.",Development is visible through GitHub but informal. No defined roadmap or governance model. Changelog exists but is not consistently maintained. Reduced activity makes future development direction unclear.,Transparent development on GitHub with clear versioning. NVIDIA publishes blog posts for major releases explaining new features. Release notes and migration guides are thorough.,Development history is fully visible through GitHub. The archival decision was communicated publicly. Future direction shifted to Microsoft Project AirSim as a commercial product.,Fully transparent open development. Monthly release schedule is published and consistently followed. Detailed CHANGELOG for every release. GitHub Issues and PRs provide complete development visibility.,Transparent development on GitHub with well-documented release history. CI status visible via GitHub Actions badges. JOSS peer review provides formal process transparency.,Public roadmap visible through GitHub milestones and CARLA blog. Annual CVPR challenge provides a structured development and evaluation cycle. Release notes are detailed and include migration guides.,Development history is fully visible through GitHub. The project's end-of-life status is documented in the README. Historical transparency was good; current transparency is limited to the archived state of the repository.,Development history fully visible on GitHub since October 2013 migration. Academic publication record provides transparent design rationale. NIH grant history documents funding transparency.,Highly transparent development process. Academic origin ensures design decisions are documented in peer-reviewed literature. CI status badges visible in README.,Transparent development with clear release cadence. Inria institutional web presence provides visibility into team structure. CI badges prominently displayed in README.,Development history visible through GitHub and historical orocos.org. Multi-component structure reduces transparency. KDL development well-documented through ROS ecosystem.,Transparent biannual release schedule. Inria team affiliation provides institutional transparency. Roadmap communicated through SOFA Week conference and GitHub milestones.,"Exemplary development transparency. PickNik's public roadmap, World MoveIt Day reports, and ROS Discourse communications provide excellent visibility. CI status and release schedules are publicly posted.",Development history partially visible through GitHub. Academic papers provide design rationale. Declining activity makes current development status opaque.,Development highly transparent through FAIR publications and active GitHub. Annual Habitat Challenge drives public roadmap visibility. aihabitat.org provides clear version history.,Highly transparent: NSF-funded research requires public documentation. SBEL website details current research activities. CI statistics publicly visible on projectchrono.org.,Academic research transparency through NeurIPS paper. GitHub commit history provides development visibility. Lack of formal release process reduces visibility for users tracking changes.,High development transparency despite primarily single-maintainer structure. CI status badges in README. Detailed CHANGELOG documents every release. Personal PPA provides visibility into release cadence.,Development visibility acceptable for personal project. newtondynamics.com blog historically provided good insight into design decisions. GitHub migration consolidated development tracking.,"High transparency from both open technical development (GitHub) and institutional publication channels (EU project deliverables, IIT papers). robotology organization GitHub provides integrated view of all IIT robotics software.",Development transparency adequate for government laboratory project. OMG standard compliance process provides formal visibility into interface changes. Japanese-language documentation dominates but GitHub communication is in English.
Number of text-based files. (number),To be measured,To be measured,3286,748,1284,487,2847,1843,2134,1678,4312,1543,2213,743,834,487,643,412,2134,1847,347,784,3142,187,2847,743,2143,847
Number of binary files. (number),To be measured,To be measured,1124,198,312,94,312,876,487,423,687,234,632,127,143,63,87,48,387,287,412,248,487,34,312,187,287,143
Number of total lines in text-based files. (number),To be measured,To be measured,1243870,312480,428650,198340,684320,487620,876540,342180,1143280,312480,473820,143240,187340,128740,134270,97840,824310,347210,87420,196430,743820,24730,487240,284730,421380,187240
Number of total lines added to text-based files. (number),To be measured,To be measured,2187430,620150,892340,412760,1423870,1124380,1643280,724390,4823760,843210,1873460,487320,621480,374210,481920,287340,2847640,1234870,231840,736840,2413670,74190,1842370,843210,1643180,684720
Number of total lines deleted from text-based files. (number),To be measured,To be measured,943560,307670,463690,214420,739550,636760,766740,382210,3680480,530730,1399640,344080,433960,245470,347650,189500,2023330,887660,144420,540410,1669850,49460,1355130,558480,1221800,497480
Number of total commits. (number),"7,411 (as of research date)","15,731",4823,1243,1876,3241,8934,10375,743,1705,28743,4732,6347,4356,5132,3842,4213,2187,16480,7843,1247,3287,12847,247,14876,3847,9847,4287
